timestamp,pressure,temperatureAmbient,altitude
8144,999.815918,26.209999,271.751404
8313,999.792664,26.209999,271.946533
8438,999.807190,26.209999,271.824707
8562,999.845520,26.209999,271.503143
8686,999.792175,26.209999,271.950653
8811,999.825928,26.219999,271.667267
8936,999.805786,26.219999,271.836060
9058,999.797424,26.219999,271.906250
9182,999.815918,26.209999,271.751404
9305,999.817566,26.230000,271.737488
9427,999.816895,26.219999,271.743164
9553,999.811401,26.219999,271.789093
9678,999.854248,26.230000,271.429871
9800,999.843750,26.230000,271.518127
9924,999.820007,26.230000,271.716827
10046,999.823608,26.219999,271.686890
10171,999.847900,26.230000,271.483032
10295,999.862488,26.230000,271.522247
10420,999.846863,26.230000,271.491791
10557,999.836731,26.230000,271.576965
10680,999.839050,26.240000,271.557343
10804,999.847412,26.240000,271.487152
10930,999.824158,26.230000,271.682251
11055,999.846741,26.240000,271.492828
11179,999.854736,26.240000,271.425720
11303,999.835022,26.230000,271.590881
11435,999.842651,26.240000,271.526886
11568,999.854370,26.240000,271.428833
11688,999.840759,26.240000,271.542877
11812,999.834595,26.230000,271.594513
11937,999.846436,26.240000,271.495392
12066,999.860962,26.250000,271.373596
12184,999.839783,26.240000,271.551147
12313,999.837341,26.240000,271.571808
12433,999.866882,26.250000,271.324036
12566,999.864868,26.240000,271.341095
12699,999.839050,26.240000,271.557343
12822,999.835938,26.240000,271.583679
12945,999.844604,26.240000,271.510895
13060,999.819946,26.240000,271.717346
13146,999.834229,26.240000,271.597595
13336,999.835938,26.240000,271.583679
13458,999.826904,26.240000,271.659027
13582,999.807983,26.240000,271.817993
13705,999.828918,26.240000,271.642517
13827,999.828308,26.240000,271.647675
13950,999.825439,26.240000,271.671417
14073,999.833740,26.250000,271.601746
14195,999.830322,26.250000,271.630646
14317,999.819519,26.240000,271.720947
14455,999.843567,26.250000,271.519653
14580,999.828491,26.250000,271.646118
14728,999.834839,26.250000,271.592438
14850,999.830933,26.250000,271.625488
14989,999.829224,26.250000,271.639923
15111,999.834839,26.250000,271.592438
15240,999.825317,26.260000,271.672455
15358,999.832764,26.250000,271.609985
15502,999.849060,26.250000,271.473206
15624,999.837280,26.250000,271.572296
15763,999.824707,26.250000,271.677612
15883,999.839294,26.260000,271.555267
16012,999.811462,26.240000,271.788574
16130,999.815918,26.250000,271.751404
16257,999.840332,26.260000,271.546509
16368,999.827515,26.250000,271.653870
16492,999.868896,26.260000,271.307007
16615,999.845520,26.260000,271.503143
16738,999.849060,26.260000,271.473206
16860,999.825806,26.250000,271.668304
16983,999.849792,26.260000,271.467010
17106,999.856689,26.260000,271.511414
